ই,0,
ও,1,
কে,2,
কেই,3,
কেও,4,
কেসহ,5,
গুলো,6,
গুলোই,7,
গুলোও,8,
গুলোকে,9,
গুলোকেই,10,
গুলোকেও,11,
গুলোকেসহ,12,
গুলোতে,13,
গুলোতেই,14,
গুলোতেও,15,
গুলোয়,16,
গুলোর,17,
গুলোরই,18,
গুলোরও,19,
গুলোরটা,20,
গুলোরটাই,21,
গুলোরটাও,22,
গুলোরটাকে,23,
গুলোরটাকেই,24,
গুলোরটাকেও,25,
গুলোরটায়,26,
গুলোরটায়ই,27,
গুলোরটায়ও,28,
টা,29,
টাই,30,
টাও,31,
টাকে,32,
টাকেই,33,
টাকেও,34,
টাকেসহ,35,
টাতে,36,
টায়,37,
টায়ই,38,
টায়ও,39,
টার,40,
টারই,41,
টারও,42,
টাসহ,43,
টি,44,
টিই,45,
টিও,46,
টিকে,47,
টিকেই,48,
টিকেও,49,
টিকেসহ,50,
টিতে,51,
টিতেই,52,
টিতেও,53,
টির,54,
টিরই,55,
টিরও,56,
টিসহ,57,
তে,58,
তেই,59,
তেও,60,
দের,61,
দেরই,62,
দেরও,63,
দেরকে,64,
দেরকেই,65,
দেরকেও,66,
দেরকেসহ,67,
দেরগুলো,68,
দেরগুলোই,69,
দেরগুলোও,70,
দেরগুলোকে,71,
দেরগুলোকেই,72,
দেরগুলোকেও,73,
দেরগুলোকেসহ,74,
দেরগুলোতে,75,
দেরগুলোতেই,76,
দেরগুলোতেও,77,
দেরগুলোয়,78,
দেরগুলোর,79,
দেরগুলোরই,80,
দেরগুলোরও,81,
দেরগুলোরটা,82,
দেরগুলোরটাই,83,
দেরগুলোরটাও,84,
দেরগুলোরটাকেই,85,
দেরগুলোরটাকেও,86,
দেরগুলোরটাতে,87,
দেরগুলোরটাতেই,88,
দেরগুলোরটাতেও,89,
দেরগুলোরটায়,90,
দেরগুলোরটায়ই,91,
দেরগুলোরটায়ও,92,
দেরগুলোরটি,93,
দেরগুলোরটিই,94,
দেরগুলোরটিও,95,
দেরগুলোরটিতে,96,
দেরগুলোরটিতেই,97,
দেরগুলোরটিতেও,98,
দেরগুলোসহ,99,
দেরটা,100,
দেরটাই,101,
দেরটাও,102,
দেরটাকে,103,
দেরটাকেই,104,
দেরটাকেও,105,
দেরটাকেসহ,106,
দেরটার,107,
দেরটারই,108,
দেরটারও,109,
দেরটি,110,
দেরটিই,111,
দেরটিও,112,
দেরটিকে,113,
দেরটিকেই,114,
দেরটিকেও,115,
দেরটিকেসহ,116,
দেরটির,117,
দেরটিরই,118,
দেরটিরও,119,
রাই,120,
রাও,121,
সহ,122,
ে,123,
েই,124,
েও,125, 
ের,126,
েরই,127,
েরও,128,
েরটা,129,
েরটাই,130,
েরটাও,131,
েরটাকে,132,
েরটাকেই,133,
েরটাকেও,134,
েরটাতে,135,
েরটাতেই,136,
েরটাতেও,137,
েরটায়,138,
েরটায়ই,139,
েরটায়ও,140,
েরটার,141,
েরটারই,142,
েরটারও,143,
েরটি,144,
েরটিই,145,
েরটিও,146,
েরটিকে,147,
েরটিকেই,148,
েরটিকেও,149,
েরটিতে,150,
েরটিতেই,151,
েরটিতেও,152,
েরটির,153,
েরটিরই,154,
েরটিরও,155,
েরা,156,
